Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A3Q0KRX8	Putative transient receptor potential channel	calcium channel activity [GO:0005262]	membrane [GO:0016020]	
A0A3Q0KRX9	Protein FAM76A			
A0A3Q0KRY0	Long-chain-fatty-acid--CoA ligase			
A0A3Q0KRY2	Growth hormone secretagogue receptor,putative	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KRY3	Abnormal spindle-like microcephaly-associated protein ASH domain-containing protein			
A0A3Q0KRY4	Putative propionyl-CoA carboxylase beta chain,mitochondrial	ligase activity [GO:0016874]		
A0A3Q0KRY5	Putative transient receptor potential cation channel,subfamily m, member	monoatomic ion channel activity [GO:0005216]	membrane [GO:0016020]	
A0A3Q0KRY8	Serine/threonine kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A3Q0KRZ1	DUF3752 domain-containing protein			
A0A3Q0KRZ2	GPN-loop GTPase 2	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]		
A0A3Q0KRZ3	Secreted protein			
A0A3Q0KRZ7	Striatin, putative	protein-containing complex binding [GO:0044877]	protein-containing complex [GO:0032991]	
A0A3Q0KRZ9	Putative tbc1 domain family member			
A0A3Q0KS00	Retinaldehyde binding protein-related			
A0A3Q0KS02	Ankyrin_rpt-contain_dom domain-containing protein			
A0A3Q0KS03	Ryanodine receptor related	calcium ion binding [GO:0005509]; ryanodine-sensitive calcium-release channel activity [GO:0005219]	sarcoplasmic reticulum membrane [GO:0033017]	intracellular calcium ion homeostasis [GO:0006874]
A0A3Q0KS04	Axis inhibition protein, axin, putative		cytoplasm [GO:0005737]	negative regulation of canonical Wnt signaling pathway [GO:0090090]; Wnt signaling pathway [GO:0016055]
A0A3Q0KS06	Putative embryonic ectoderm development protein			
A0A3Q0KS07	Ig-like domain-containing protein			
A0A3Q0KS08	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KS10	NTP_transf_2 domain-containing protein	nucleotidyltransferase activity [GO:0016779]	TRAMP complex [GO:0031499]	RNA polyadenylation [GO:0043631]
A0A3Q0KS11	Uncharacterized protein			
A0A3Q0KS14	Propionyl-CoA carboxylase	ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]		
A0A3Q0KS16	Gag protein			
A0A3Q0KS17	Putative mitochondrial ribosomal protein S7		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
A0A3Q0KS18	Putative cadherin	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A3Q0KS19	Putative pcdc2/rp-8 (Programmed cell death protein 2)	metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	
A0A3Q0KS20	Peptidyl-prolyl cis-trans isomerase-like 4. ppil4	ubiquitin protein ligase activity [GO:0061630]		protein polyubiquitination [GO:0000209]
A0A3Q0KS21	Putative endophilin B1		cytoplasm [GO:0005737]	
A0A3Q0KS22	DH domain-containing protein	guanyl-nucleotide exchange factor activity [GO:0005085]		
A0A3Q0KS24	Translation initiation factor 2b, delta subunit,putative			
A0A3Q0KS25	Cyclic nucleotide-binding domain-containing protein			
A0A3Q0KS26	Putative laminin gamma-1 chain			
A0A3Q0KS28	USP6 N-terminal-like protein			
A0A3Q0KS29	Et translation product-related		membrane [GO:0016020]	
A0A3Q0KS30	N-acetyltransferase domain-containing protein	tubulin N-acetyltransferase activity [GO:0019799]	microtubule [GO:0005874]	alpha-tubulin acetylation [GO:0071929]
A0A3Q0KS31	Putative btb and poz domain-containing protein			
A0A3Q0KS32	Uncharacterized protein			
A0A3Q0KS33	IQ domain-containing protein H			
A0A3Q0KS34	Putative translation elongation factor G			
A0A3Q0KS38	Serine/threonine-protein phosphatase 6 regulatory subunit 3	protein phosphatase binding [GO:0019903]		regulation of phosphoprotein phosphatase activity [GO:0043666]
A0A3Q0KS39	Protein CIP2A			
A0A3Q0KS42	Uncharacterized protein			
A0A3Q0KS43	Uncharacterized protein			
A0A3Q0KS44	Ral guanine nucleotide exchange factor with pH domain and sh3 binding motif, ralgps, putative	guanyl-nucleotide exchange factor activity [GO:0005085]		small GTPase mediated signal transduction [GO:0007264]
A0A3Q0KS45	Putative ubiquitin-protein ligase BRE1	carbohydrate binding [GO:0030246]		
A0A3Q0KS46	Putative flightless-I	actin filament binding [GO:0051015]		
A0A3Q0KS48	Putative par domain protein	DNA-binding transcription factor activity [GO:0003700]		
A0A3Q0KS49	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KS50	Uncharacterized protein			
A0A3Q0KS55	Phosphatidylcholine-sterol acyltransferase (Lecithin-cholesterol acyltransferase)/ Phospholipase A	O-acyltransferase activity [GO:0008374]		lipid metabolic process [GO:0006629]
A0A3Q0KS56	Putative ATPase	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		
A0A3Q0KS58	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KS59	Putative transportin			macromolecule localization [GO:0033036]; nucleocytoplasmic transport [GO:0006913]
A0A3Q0KS61	Nucleoporin_C domain-containing protein	structural constituent of nuclear pore [GO:0017056]	membrane [GO:0016020]; nuclear pore [GO:0005643]	
A0A3Q0KS63	Putative collagen alpha-1(V) chain	extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]		
A0A3Q0KS66	Copine, putative	calcium-dependent phospholipid binding [GO:0005544]		
A0A3Q0KS68	Putative solute carrier family 39 (zinc transporter)	metal ion transmembrane transporter activity [GO:0046873]	membrane [GO:0016020]	
A0A3Q0KS71	Protocadherin gamma, putative	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A3Q0KS72	Phosphatidylcholine-sterol acyltransferase (Lecithin-cholesterol acyltransferase)/ Phospholipase A	O-acyltransferase activity [GO:0008374]		lipid metabolic process [GO:0006629]
A0A3Q0KS74	Calcium-activated potassium channel	potassium channel activity [GO:0005267]	membrane [GO:0016020]	
A0A3Q0KS75	Uncharacterized protein			
A0A3Q0KS76	Ris2 protein, putative	DNA binding [GO:0003677]	nucleus [GO:0005634]	DNA replication preinitiation complex assembly [GO:0071163]; regulation of DNA-templated DNA replication initiation [GO:0030174]
A0A3Q0KS78	Putative talin	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; ruffle [GO:0001726]	
A0A3Q0KS79	Uncharacterized protein			
A0A3Q0KS80	Rna-binding protein related	RNA binding [GO:0003723]		
A0A3Q0KS81	Mername-AA213 putative peptidase (M14 family)	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]		proteolysis [GO:0006508]
A0A3Q0KS82	Uncharacterized protein			
A0A3Q0KS83	Uncharacterized protein			
A0A3Q0KS85	Putative fatty-acid amide hydrolase		membrane [GO:0016020]	
A0A3Q0KS86	Calcineurin-binding protein cabin-1		nucleus [GO:0005634]	chromatin organization [GO:0006325]
A0A3Q0KS87	EH domain-containing protein			
A0A3Q0KS88	Excision repair helicase ercc-6-related	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]		
A0A3Q0KS89	Nicastrin		plasma membrane [GO:0005886]	protein processing [GO:0016485]
A0A3Q0KS90	IL4_i_Ig domain-containing protein			
A0A3Q0KS92	Uncharacterized protein			
A0A3Q0KS93	CFA20 domain-containing protein			
A0A3Q0KS95	Putative nuclear protein			cellular response to stimulus [GO:0051716]
A0A3Q0KS96	C2 domain-containing protein			
A0A3Q0KS97	Centrosomal protein of 19 kDa		centriole [GO:0005814]; cilium [GO:0005929]; cytoplasm [GO:0005737]	
A0A3Q0KS98	Uncharacterized protein			
A0A3Q0KS99	Smp_167190	calcium ion binding [GO:0005509]	membrane [GO:0016020]	
A0A3Q0KSA0	Putative monocarboxylate transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KSA2	DH domain-containing protein	guanyl-nucleotide exchange factor activity [GO:0005085]		
A0A3Q0KSA3	Protein-tyrosine phosphatase n9, putative	protein tyrosine phosphatase activity [GO:0004725]		protein dephosphorylation [GO:0006470]
A0A3Q0KSA4	DUF3421 domain-containing protein			
A0A3Q0KSA5	C2H2-type domain-containing protein		membrane [GO:0016020]	
A0A3Q0KSA6	Putative gata zinc finger domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		negative regulation of peptidase activity [GO:0010466]
A0A3Q0KSA9	BTB domain-containing protein			morphogenesis of a branching epithelium [GO:0061138]
A0A3Q0KSB0	Ephrin RBD domain-containing protein		membrane [GO:0016020]	
A0A3Q0KSB3	Methionyl-tRNA formyltransferase, putative			biosynthetic process [GO:0009058]
A0A3Q0KSB5	Acid sensing ion channel 4, pituitary, putative		membrane [GO:0016020]	
A0A3Q0KSB6	Rho-GAP domain-containing protein			signal transduction [GO:0007165]
A0A3Q0KSB7	CCHC-type domain-containing protein	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]		
A0A3Q0KSB8	Cell division cycle protein 123 homolog			
A0A3Q0KSC3	Solute carrier family, putative	metal ion transmembrane transporter activity [GO:0046873]	membrane [GO:0016020]	
A0A3Q0KSC6	PKD_channel domain-containing protein	calcium ion binding [GO:0005509]	ciliary membrane [GO:0060170]; cytoplasmic vesicle [GO:0031410]	
A0A3Q0KSC7	Putative ubinuclein/yemanuclein			
A0A3Q0KSC9	Activating signal cointegrator 1	zinc ion binding [GO:0008270]	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSD0	AXH domain-containing protein	RNA binding [GO:0003723]	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSD1	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KSD5	Protein phosphatase 1 binding protein, putative			
A0A3Q0KSD6	Protein FAM183A		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	
A0A3Q0KSD9	Adenylate cyclase		membrane [GO:0016020]	
A0A3Q0KSE3	Mic1 domain-containing protein		Mon1-Ccz1 complex [GO:0035658]	regulation of autophagy [GO:0010506]
A0A3Q0KSE4	Sfi1 spindle body domain-containing protein			
A0A3Q0KSE5	Uncharacterized protein			
A0A3Q0KSE7	Putative vav2	guanyl-nucleotide exchange factor activity [GO:0005085]		
A0A3Q0KSE8	C2H2-type domain-containing protein			
A0A3Q0KSF0	Coiled-coil domain-containing protein			
A0A3Q0KSF3	F-box domain-containing protein		SCF ubiquitin ligase complex [GO:0019005]	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]
A0A3Q0KSF5	UBA domain-containing protein			
A0A3Q0KSF6	Uncharacterized protein			
A0A3Q0KSF7	Putative aryl hydrocarbon receptor	protein dimerization activity [GO:0046983]		regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSG4	Cell polarity protein			
A0A3Q0KSG6	WW domain-containing protein			
A0A3Q0KSG7	Bromodomain containing, putative			
A0A3Q0KSG9	Integrator complex subunit 3 N-terminal domain-containing protein			
A0A3Q0KSH0	Putative chaperone binding protein	protein-folding chaperone binding [GO:0051087]		
A0A3Q0KSH1	Phosphatidylcholine-sterol acyltransferase (Lecithin-cholesterol acyltransferase)/ Phospholipase A	O-acyltransferase activity [GO:0008374]		lipid metabolic process [GO:0006629]
A0A3Q0KSH2	Putative myelin transcription factor 1, myt1	zinc ion binding [GO:0008270]	membrane [GO:0016020]; nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSH3	Lysophospholipid acyltransferase 5		membrane [GO:0016020]	
A0A3Q0KSH4	Importin N-terminal domain-containing protein	nuclear export signal receptor activity [GO:0005049]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	protein export from nucleus [GO:0006611]
A0A3Q0KSH5	Core 1 udp-galactose:n-acetylgalactosamine-alpha-r beta 1,3-galactosyltransferase, putative			
A0A3Q0KSH6	Transcription factor, putative			
A0A3Q0KSH7	Amine oxidase (EC 1.4.3.-)	oxidoreductase activity [GO:0016491]		
A0A3Q0KSH8	Transient receptor potential channel,putative	calcium channel activity [GO:0005262]	membrane [GO:0016020]	
A0A3Q0KSH9	LIM zinc-binding domain-containing protein	metal ion binding [GO:0046872]		
A0A3Q0KSI0	Macrophage scavenger receptor-related	scavenger receptor activity [GO:0005044]	membrane [GO:0016020]	cell differentiation [GO:0030154]
A0A3Q0KSI1	Putative sorting and assembly machinery (Sam50) protein		outer membrane [GO:0019867]	
A0A3Q0KSI3	Putative zinc finger protein			
A0A3Q0KSI6	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KSI8	PPM-type phosphatase domain-containing protein	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]		protein dephosphorylation [GO:0006470]
A0A3Q0KSJ1	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	cysteine-type deubiquitinase activity [GO:0004843]		ubiquitin-dependent protein catabolic process [GO:0006511]
A0A3Q0KSJ2	Methyltransferase-related	rRNA (guanine) methyltransferase activity [GO:0016435]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	rRNA (guanine-N7)-methylation [GO:0070476]
A0A3Q0KSJ4	Kelch-like protein			
A0A3Q0KSJ5	Putative aspartyl-tRNA synthetase	aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]		tRNA aminoacylation for protein translation [GO:0006418]
A0A3Q0KSJ8	Rab-18, putative	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KSJ9	Putative nuclear pore complex protein nup155	structural constituent of nuclear pore [GO:0017056]	nuclear pore [GO:0005643]	
A0A3Q0KSK0	Putative golgi reassembly stacking protein 2 (Grasp2)		Golgi apparatus [GO:0005794]; membrane [GO:0016020]	
A0A3Q0KSK1	Chromatin assembly factor 1 subunit A-A		nucleus [GO:0005634]	
A0A3Q0KSK2	Protein Wnt	signaling receptor binding [GO:0005102]	extracellular region [GO:0005576]	Wnt signaling pathway [GO:0016055]
A0A3Q0KSK4	Spc7 kinetochore protein domain-containing protein			
A0A3Q0KSK5	Uncharacterized protein			
A0A3Q0KSK6	Uncharacterized protein			
A0A3Q0KSK7	Putative mitochondrial translational initiation factor	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]		
A0A3Q0KSK9	Uncharacterized protein			
A0A3Q0KSL0	SWIM-type domain-containing protein	zinc ion binding [GO:0008270]		
A0A3Q0KSL4	Uncharacterized protein			
A0A3Q0KSL7	Putative short chain dehydrogenase			
A0A3Q0KSL8	Myogenic factor, putative	protein dimerization activity [GO:0046983]	nucleus [GO:0005634]	muscle organ development [GO:0007517]; regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSL9	Putative tgf beta receptor associated protein-1			vesicle-mediated transport [GO:0016192]
A0A3Q0KSM1	Rab, putative	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KSM2	Uncharacterized protein			
A0A3Q0KSM3	Putative bromodomain containing protein			
A0A3Q0KSM4	Ig-like domain-containing protein			
A0A3Q0KSM5	Gamma-tubulin complex component	gamma-tubulin binding [GO:0043015]	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]	microtubule nucleation [GO:0007020]
A0A3Q0KSM6	CW-type domain-containing protein	zinc ion binding [GO:0008270]		
A0A3Q0KSM7	Sorting nexin, putative			
A0A3Q0KSN0	Uncharacterized protein			
A0A3Q0KSN1	HORMA domain-containing protein	metal ion binding [GO:0046872]		
A0A3Q0KSN2	DH domain-containing protein	guanyl-nucleotide exchange factor activity [GO:0005085]		
A0A3Q0KSN3	Putative g-protein coupled receptor	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	cell surface receptor signaling pathway [GO:0007166]
A0A3Q0KSN7	Photoreceptor-specific nuclear receptor related	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	
A0A3Q0KSP0	Mothers against decapentaplegic homolog	metal ion binding [GO:0046872]	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]	regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KSP2	Putative bromodomain containing protein	metal ion binding [GO:0046872]	nucleus [GO:0005634]	
A0A3Q0KSP3	Negative elongation factor D		nucleus [GO:0005634]	negative regulation of DNA-templated transcription [GO:0045892]
A0A3Q0KSP4	Ig-like domain-containing protein			
A0A3Q0KSP7	Retinaldehyde binding protein-related			
A0A3Q0KSP8	Putative amiloride-sensitive sodium channel	sodium channel activity [GO:0005272]	membrane [GO:0016020]	
A0A3Q0KSP9	Putative dual specificity protein phosphatase	protein tyrosine/serine/threonine phosphatase activity [GO:0008138]		protein dephosphorylation [GO:0006470]
A0A3Q0KSQ0	Putative lung seven transmembrane receptor		membrane [GO:0016020]	
A0A3Q0KSQ2	Neuronal differentiation protein			
A0A3Q0KSQ3	Putative intermediate filament proteins		intermediate filament [GO:0005882]	
A0A3Q0KSQ4	Putative neuropeptide receptor	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KSQ5	Uncharacterized protein			recombinational repair [GO:0000725]
A0A3Q0KSQ6	Putative d-amino acid oxidase	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]		D-amino acid metabolic process [GO:0046416]
A0A3Q0KSQ7	Putative ef-hand domain (C-terminal) containing protein		cytoplasm [GO:0005737]	
A0A3Q0KSQ9	Wd-repeat protein			
A0A3Q0KSR0	Transmembrane protein 209			
A0A3Q0KSR1	XPGN domain-containing protein	nuclease activity [GO:0004518]		
A0A3Q0KSR2	Putative cell cycle control protein cwf22	RNA binding [GO:0003723]		
A0A3Q0KSR3	Putative granulin		extracellular region [GO:0005576]	
A0A3Q0KSR6	Putative granulin		extracellular region [GO:0005576]	
A0A3Q0KSR7	Myb-like domain-containing protein			
A0A3Q0KSR8	Putative serine-rich repeat protein		membrane [GO:0016020]	
A0A3Q0KSR9	Uncharacterized protein	microtubule binding [GO:0008017]		
A0A3Q0KSS1	Putative rhodopsin-like orphan GPCR	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KSS2	Putative wd-repeat protein			
A0A3Q0KSS3	N-acetylgalactosaminide beta-1,3-galactosyltransferase	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity [GO:0016263]	membrane [GO:0016020]	protein glycosylation [GO:0006486]
A0A3Q0KSS4	WD repeat-containing protein 44			
A0A3Q0KSS5	BAH domain-containing protein	chromatin binding [GO:0003682]	nucleus [GO:0005634]	
A0A3Q0KSS6	Uncharacterized protein			
A0A3Q0KSS7	Putative cell adhesion molecule			
A0A3Q0KSS8	Steroid dehydrogenase, putative	oxidoreductase activity [GO:0016491]		
A0A3Q0KSS9	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]		cysteinyl-tRNA aminoacylation [GO:0006423]
A0A3Q0KST0	Uncharacterized protein			
A0A3Q0KST1	cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]		cysteinyl-tRNA aminoacylation [GO:0006423]
A0A3Q0KST2	Aromatic-L-amino-acid decarboxylase (AADC) (DOPA decarboxylase) (DDC),putative	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]		amino acid metabolic process [GO:0006520]
A0A3Q0KST3	Vesicle docking protein P115, putative		Golgi membrane [GO:0000139]	intracellular protein transport [GO:0006886]; vesicle fusion with Golgi apparatus [GO:0048280]
A0A3Q0KST4	Putative nad dependent epimerase/dehydratase			
A0A3Q0KST6	RFX-type winged-helix domain-containing protein	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		
A0A3Q0KST7	Epidermal growth factor receptor substrate 15-like 1	calcium ion binding [GO:0005509]		
A0A3Q0KST8	Uncharacterized protein			
A0A3Q0KST9	EGF-like domain-containing protein			
A0A3Q0KSU0	Uncharacterized protein			
A0A3Q0KSU1	DUF5739 domain-containing protein			
A0A3Q0KSU2	Lipid phosphate phosphatase-related		membrane [GO:0016020]	phospholipid metabolic process [GO:0006644]
A0A3Q0KSU3	Putative adenylate cyclase		membrane [GO:0016020]	
A0A3Q0KSU4	Putative vasodilator-stimulated phosphoprotein/sprouty protein evh1 domain containing protein		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	
A0A3Q0KSU5	Uncharacterized protein			
A0A3Q0KSU7	SPARC_Ca_bdg domain-containing protein	calcium ion binding [GO:0005509]		
A0A3Q0KSU8	Solute carrier family 43 member 3	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KSU9	Glial cells missing related	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]	nucleus [GO:0005634]	anatomical structure development [GO:0048856]
A0A3Q0KSV0	Putative udp-galactose transporter		membrane [GO:0016020]	transmembrane transport [GO:0055085]
A0A3Q0KSV1	Putative sugar transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KSV2	GCV_T domain-containing protein		mitochondrion [GO:0005739]	
A0A3Q0KSV5	RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]		
A0A3Q0KSV6	Putative short chain dehydrogenase			
A0A3Q0KSV7	Putative cyclin fold protein	protein kinase binding [GO:0019901]		regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
A0A3Q0KSV8	Transcription initiation factor tfiid 55 kD subunit-related		transcription factor TFIID complex [GO:0005669]	transcription initiation at RNA polymerase II promoter [GO:0006367]
A0A3Q0KSV9	Serine/threonine kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A3Q0KSW0	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KSW1	Uncharacterized protein			
A0A3Q0KSW4	Mimitin, mitochondrial		membrane [GO:0016020]	mitochondrial respiratory chain complex I assembly [GO:0032981]
A0A3Q0KSW6	Putative g-protein coupled receptor	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KSW7	Ribosome-binding protein 1 (Ribosome receptor protein) (MRRp), putative			
A0A3Q0KSW8	Putative dead box ATP-dependent RNA helicase			
A0A3Q0KSW9	Putative sodium-dependent phosphate transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KSX0	Smg-7 (Suppressor with morphological effect on genitalia protein 7), putative			nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]
A0A3Q0KSX1	Leucine-rich repeat and coiled-coil domain-containing protein 1			
A0A3Q0KSX3	Uncharacterized protein		nucleus [GO:0005634]	regulation of exit from mitosis [GO:0007096]
A0A3Q0KSX5	Nup54 domain-containing protein		nuclear pore [GO:0005643]	
A0A3Q0KSX7	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KSX8	Ribosome-binding protein 1 (Ribosome receptor protein) (MRRp), putative			
A0A3Q0KSX9	Uncharacterized protein			
A0A3Q0KSY0	LIM zinc-binding domain-containing protein	metal ion binding [GO:0046872]		
A0A3Q0KSY2	Putative axis inhibition protein, axin		cytoplasm [GO:0005737]	negative regulation of canonical Wnt signaling pathway [GO:0090090]; Wnt signaling pathway [GO:0016055]
A0A3Q0KSY3	Dual specificity serine/threonine tyrosine kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A3Q0KSY4	Kh-domain rna binding protein-related	RNA binding [GO:0003723]		
A0A3Q0KSY5	Uncharacterized protein			
A0A3Q0KSY7	Transmembrane protein		membrane [GO:0016020]	
A0A3Q0KSY8	Putative unc-13 (Munc13)	calcium ion binding [GO:0005509]; diacylglycerol binding [GO:0019992]; phospholipid binding [GO:0005543]	presynapse [GO:0098793]	chemical synaptic transmission [GO:0007268]
A0A3Q0KSY9	Putative wd-repeat protein			
A0A3Q0KSZ3	Mucin-like protein			
A0A3Q0KSZ4	Putative multidrug resistance protein 1 (ATP-binding cassette C1)	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	membrane [GO:0016020]	
A0A3Q0KSZ5	Non-specific serine/threonine protein kinase	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A3Q0KSZ7	Senescence downregulated leo1-like		Cdc73/Paf1 complex [GO:0016593]	histone modification [GO:0016570]; transcription elongation by RNA polymerase II [GO:0006368]
A0A3Q0KT00	Putative flagellar radial spoke protein		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	
A0A3Q0KT03	Putative atp-dependent RNA helicase	helicase activity [GO:0004386]		
A0A3Q0KT04	mTERF domain-containing protein 1, mitochondrial	double-stranded DNA binding [GO:0003690]		regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KT05	Carbon catabolite repressor protein, putative	catalytic activity [GO:0003824]	cytoplasm [GO:0005737]	
A0A3Q0KT06	5-AMP-activated protein kinase, beta subunit,putative		cytoplasm [GO:0005737]	
A0A3Q0KT07	Pak-interacting exchange factor, beta-pix/cool-1, putative			
A0A3Q0KT09	Putative immunoglobulin domain superfamily (Sensory guidance protein)		membrane [GO:0016020]	
A0A3Q0KT10	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha PI3K	kinase activity [GO:0016301]; phosphatidylinositol binding [GO:0035091]		phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]
A0A3Q0KT11	Putative rna recognition motif containing protein	RNA binding [GO:0003723]		mRNA splicing, via spliceosome [GO:0000398]
A0A3Q0KT12	Subfamily M3A non-peptidase homologue (M03 family)	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A3Q0KT13	Putative inositol 5-phosphatase			
A0A3Q0KT14	Cilia- and flagella-associated protein 45		motile cilium [GO:0031514]	
A0A3Q0KT16	Speedy protein A	protein kinase binding [GO:0019901]		positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]
A0A3Q0KT18	F-BAR domain-containing protein			
A0A3Q0KT20	GATOR complex protein MIO zinc-ribbon like domain-containing protein			
A0A3Q0KT23	Netrin receptor UNC5		plasma membrane [GO:0005886]	axon guidance [GO:0007411]; cell adhesion [GO:0007155]
A0A3Q0KT27	Peptidase_M13_N domain-containing protein	metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A3Q0KT29	Putative leucine-rich repeat-containing protein, lrr1			
A0A3Q0KT31	Putative rhodopsin-like orphan GPCR	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KT32	Pre-mRNA processing protein prp39-related		nucleus [GO:0005634]	RNA processing [GO:0006396]
A0A3Q0KT33	Strawberry notch-related		membrane [GO:0016020]	
A0A3Q0KT34	Putative gtp-binding protein alpha subunit	G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]		G protein-coupled receptor signaling pathway [GO:0007186]
A0A3Q0KT36	Putative goodpasture antigen-binding protein	lipid binding [GO:0008289]	endoplasmic reticulum [GO:0005783]	
A0A3Q0KT37	FAS1 domain-containing protein			
